Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
CLINICA DENTAL MARIA DOLORES CASADO LOPEZ;47-C251-0167;CL. LA VICTORIA 33  A;47009;VALLADOLID;VALLADOLID;983373294;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CASADO LOPEZ , MARIA DOLORES;PRIVADOS;41.6641764, -4.7326358
CLINICA DENTAL MARTIN AVALOS;47-C251-0036;CL. MARIEMMA 13;47420;ISCAR;VALLADOLID;921155297;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MARTIN AVALOS S.L.P.;PRIVADOS;41.3624132, -4.5342018
CLINICA DENTAL MASDENTAL;34-C251-0088;CL. QUINTANA, 4 - BAJO;34400;HERRERA DE PISUERGA;PALENCIA;606034160;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GONZALEZ GOMEZ , ANA BELEN;PRIVADOS;42.5955303, -4.3319049
CLINICA DENTAL MASTERDENT;40-C251-0063;CL. VIA ROMA 30;40003;SEGOVIA;SEGOVIA;921432510;921432510;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HUERTA MUÑOZ , SILVIA;PRIVADOS;40.9531569, -4.1090938
CLINICA DENTAL MATEOS VILA;47-C22-0444;PS. ZORRILLA 52;47006;VALLADOLID;VALLADOLID;665631044;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL DM AV 2020, S.L.P.;PRIVADOS;41.6438034, -4.7355892
CLINICA DENTAL MEDINA;47-C251-0008;CL. RONDA DE GRACIA 3;47400;MEDINA DEL CAMPO;VALLADOLID;983800595;0;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;NOVADENT S.L.;PRIVADOS;41.30681, -4.9176451
CLINICA DENTAL MERCEDES ROJO;49-C251-0058;CL. MAGISTRAL ROMERO 12;49015;ZAMORA;ZAMORA;980512314;980512314;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#ODONTOLOGIA / ESTOMATOLOGIA;ROJO ALONSO , MARIA MERCEDES;PRIVADOS;41.5064249, -5.7406754
CLINICA DENTAL MERINDENT;09-C21-0229;AV. BURGOS 22;09500;MEDINA DE POMAR;BURGOS;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MARTIN PEREZ , SUSANA;PRIVADOS;42.9301341, -3.4836425
CLINICA DENTAL MERLODENT;47-C251-0071;AV. ESTADIO 27  A;47140;LAGUNA DE DUERO;VALLADOLID;696124529;983526400;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MERLODENT S.L.;PRIVADOS;41.5865791, -4.7263737
CLINICA DENTAL MIGUEL ANGEL;40-C251-0074;PZ. ESPRONCEDA 2;40006;SEGOVIA;SEGOVIA;921443081;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DIAZ CARDIEL , MIGUEL;PRIVADOS;40.9298774, -4.0994491
CLINICA DENTAL MINERVA MARTINEZ Y ANGEL ANTON;09-C251-0218;CL. GUARDIA CIVIL 4;09004;BURGOS;BURGOS;619346776;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ANTON GONZALEZ , ANGEL JESUS;PRIVADOS;42.3452366, -3.6947603
CLINICA DENTAL MONICA VALENZUELA;24-C251-0286;PS. QUINTANILLA 6;24007;LEON;LEON;987223427;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL MONICA VALENZUELA S.L.U.;PRIVADOS;42.6048825, -5.5644029
CLINICA DENTAL MORANDEIRA;09-C251-0207;AV. DEL ARLANZON 25;09004;BURGOS;BURGOS;947270063;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;IGMA DENTAL S.L.;PRIVADOS;42.342161, -3.6929759
CLINICA DENTAL NATURA;34-C251-0085;CL. MARICADILLA 3;34800;AGUILAR DE CAMPOO;PALENCIA;947100160;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;IPPP DENTAL S.L.U.;PRIVADOS;42.7930627, -4.2597309
CLINICA DENTAL NEW DENTIS;24-C251-0231;CL. JUAN XXIII 7;24540;CACABELOS;LEON;987546117;987546117;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL IRELE S.L.;PRIVADOS;42.5982734, -6.723817
CLINICA DENTAL NIETO SALUD CENTRO RUBIA;47-C251-0253;CL. DOCTOR MORENO 17;47008;VALLADOLID;VALLADOLID;983230921;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;AYC SALUD S.L.;PRIVADOS;41.623524, -4.7409642
CLINICA DENTAL NORA;09-C251-0136;PZ. MAYOR 17  D;09240;BRIVIESCA;BURGOS;947590369;947590369;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;NORA ACCAPUTO DE VIZCAYA S.L.P.;PRIVADOS;42.5505303, -3.3237546
CLINICA DENTAL ODONLAB VALLADOLID;47-C251-0077;CL. LEOPOLDO CANO 13  A;47003;VALLADOLID;VALLADOLID;637717037;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ODONLAB VALLADOLID S.L.;PRIVADOS;41.6539571, -4.725434
CLINICA DENTAL ODONTOPAL;34-C251-0058;CL. BERRUGUETE 6;34001;PALENCIA;PALENCIA;979740445;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BELUR C.B.;PRIVADOS;42.0102593, -4.5309653
CLINICA DENTAL ORTEGA;24-C251-0132;CL. PARROCO PABLO DIEZ 229  B;24010;TROBAJO DEL CAMINO;LEON;987840670;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ORTEGA MONTES , LEIDY MARIA;PRIVADOS;42.5963925, -5.6060881
CLINICA DENTAL PABLO HUIDOBRO;37-C251-0236;CL. SAN LAZARO 2;37300;PEÑARANDA DE BRACAMONTE;SALAMANCA;699642853;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HUIDOBRO MARTINEZ , PABLO ANTONIO;PRIVADOS;40.904525, -5.20249
CLINICA DENTAL PABLO ORTIZ DE URBINA;37-C251-0233;CL. ARCO N 2 ENTREPLANTA - OFICINA 1;37002;SALAMANCA;SALAMANCA;923260501;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ORTIZ DE URBINA COMERON , PABLO;PRIVADOS;40.969023, -5.6634169
CLINICA DENTAL PADRE CAMARA;37-C251-0193;CL. PADRE CAMARA 19-23;37004;SALAMANCA;SALAMANCA;696105766;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL NOVA  SL;PRIVADOS;40.9694217, -5.6574277
CLINICA DENTAL PASTOR CASAS;34-C251-0069;CL. BATAN DE SAN SEBASTIAN 4 - BAJO;34005;PALENCIA;PALENCIA;979741939;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PASTOR CASAS , JOSE MARIA;PRIVADOS;42.0040161, -4.5301219
CLINICA DENTAL PASTOR CASAS;47-C251-0185;CL. HERNANDO DE ACUÑA 27  K;47014;VALLADOLID;VALLADOLID;983371626;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ESTETICA DENTAL DIGITAL S.L.;PRIVADOS;41.6380226, -4.76064
CLINICA DENTAL PATRICIA GONZALEZ;09-C251-0167;CL. CONDADO DE TREVIÑO 31;09200;MIRANDA DE EBRO;BURGOS;947336143;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ISARADENTAL S.L.P.;PRIVADOS;42.6847952, -2.9436049
CLINICA DENTAL PEREZ BALLESTEROS;37-C251-0168;CL. ECUADOR 4;37003;SALAMANCA;SALAMANCA;923124396;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA ODONTOLOGICA PEREZ-BALLESTEROS S.L.;PRIVADOS;40.9653025, -5.6538994
CLINICA DENTAL PICCOLA PLAZA;47-C251-0038;PZ. SANTA BRIGIDA 3;47003;VALLADOLID;VALLADOLID;983117717;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICAS DENTAL-PICCOLA S.L.;PRIVADOS;41.6563351, -4.7277055
CLINICA DENTAL PISOS VERDES;42-C251-0051;CL. SANTIAGO GOMEZ SANTA CRUZ, 6, BAJO;42004;SORIA;SORIA;658754091;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MIALDEA HERVAS S.L.P.U.;PRIVADOS;41.7593442, -2.4742574
CLINICA DENTAL PLAZA;24-C251-0222;PZ. MAYOR 13  A;24240;SANTA MARIA DEL PARAMO;LEON;987351285;987351285;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL PLAZA SERVICIOS ODONTOLOGICOS;PRIVADOS;42.3536436, -5.7487494
CLINICA DENTAL PLUS;47-C251-0270;AV. LIBERTAD S/N LOCAL 3;47140;LAGUNA DE DUERO;VALLADOLID;983546172;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PROYECTO DENTAL LAGUNA S.L.;PRIVADOS;41.5884987, -4.7233435
CLINICA DENTAL PORTUGAL;37-C251-0096;AV. DE PORTUGAL 108  B;37005;SALAMANCA;SALAMANCA;923121831;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANCHEZ ALVAREZ , ANTONIO MARIA;PRIVADOS;40.9722469, -5.661983
CLINICA DENTAL POZA BARRERA SAN LEONARDO DE YAGUE;42-C290-0004;CL. CID CAMPEADOR, 1, BAJO;42140;SAN LEONARDO DE YAGUE;SORIA;610853004;0;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#ODONTOLOGIA / ESTOMATOLOGIA;POZA BARRERA , JOSE ANTONIO;PRIVADOS;41.8294573, -3.0658952
CLINICA DENTAL PRADOMORAL CUELLAR;40-C251-0095;AV. CAMILO JOSE CELA 41;40200;CUELLAR;SEGOVIA;921140441;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PRADOMORAL S.L.;PRIVADOS;41.3996301, -4.3100199
CLINICA DENTAL PROVEDO;34-C251-0066;CL. CONDE DE GARAY 12;34460;OSORNO;PALENCIA;606434425;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PROVEDO ROZO , SILVIA;PRIVADOS;42.4104419, -4.361527
CLINICA DENTAL QDENT;05-C251-0070;PS. DE LA ESTACION 34;05001;AVILA;AVILA;920255752;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ODONTOLOGIA ABULENSE S.L.;PRIVADOS;40.6570425, -4.6847091
CLINICA DENTAL QUINTANAR;09-C251-0121;CL. CAMPAMENTO 27;09670;QUINTANAR DE LA SIERRA;BURGOS;947395417;947395417;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BETTAS FERRERO , JORGE MARIO;PRIVADOS;41.986018, -3.030078
CLINICA DENTAL QUIÑONES BELZUZ;24-C251-0268;BV. JUAN CARLOS I REY DE ESPAÑA 8-10;24404;PONFERRADA;LEON;987407267;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;QUIÑONES BELZUZ , ALVARO;PRIVADOS;42.5541615, -6.6049168
CLINICA DENTAL RAFAEL PEÑUELAS;42-C251-0044;CL. SANTA LUISA DE MARILLAC 5 BAJO;42003;SORIA;SORIA;684394667;975123986;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL RAFAEL PEÑUELAS S.L.P.;PRIVADOS;41.7616446, -2.4730536
CLINICA DENTAL RAFAEL PEÑUELAS;42-C251-0053;CL. DONDE NACE EL AGUA, 4, LOCAL URB. CAMARETAS;42190;GOLMAYO;SORIA;684394667;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PEÑUELAS CALVO , RAFAEL;PRIVADOS;41.7774142, -2.5009273
CLINICA DENTAL RANILLA;49-C251-0116;CL. CARDENAL MELLA 3;49009;ZAMORA;ZAMORA;650635824;0;ESPECIALIZADOS: CLINICAS DENTALES;ADMISION Y DOCUMENTACION CLINICA;ALFONSO RANILLA , SUSANA;PRIVADOS;41.5109959, -5.741798112325345
CLINICA DENTAL REAL SITIO DE SAN ILDEFONSO;40-C251-0110;CJ. DEL GALLO 4;40100;SAN ILDEFONSO O LA GRANJA;SEGOVIA;921470571;921470571;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;LEMONNIER , ANDRES;PRIVADOS;40.89548, -3.9840451
CLINICA DENTAL REYES CATOLICOS;05-C251-0011;CL. SOR MARIA DE SAN JOSE, 1  6;05001;AVILA;AVILA;920211379;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL REYES CATOLICOS S.L;PRIVADOS;40.6547023, -4.6943932
CLINICA DENTAL RM EL TIEMBLO;05-C251-0087;PS. RECOLETOS 34;05270;TIEMBLO (EL);AVILA;918627448;920030190;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA RUIZ MARDOMINGO S.L.;PRIVADOS;40.4100148, -4.4948042
CLINICA DENTAL RODRIGUEZ-PAREDES;47-C251-0009;CL. SAN LORENZO 7  B;47001;VALLADOLID;VALLADOLID;983330409;983330409;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL RODRIGUEZ-PAREDES C.B.;PRIVADOS;41.6522493, -4.7313567
CLINICA DENTAL ROMERO;47-C251-0137;CL. SAN JOSE 12;47007;VALLADOLID;VALLADOLID;983235324;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MM ROMERO CLINICA DENTAL S.L.;PRIVADOS;41.6422472, -4.7337646
CLINICA DENTAL RUBIO;37-C251-0226;CL. WENCES MORENO 1;37300;PEÑARANDA DE BRACAMONTE;SALAMANCA;923541367;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA RUBIO S.L.;PRIVADOS;40.9006098, -5.2026038
CLINICA DENTAL SAEZ URRENGOECHEA;24-C251-0335;AV. SAN IGNACIO DE LOYOLA 1;24010;LEON;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTALEON S.L.P.;PRIVADOS;42.6026535, -5.588767
CLINICA DENTAL SALUDENT;49-C251-0028;CL. SANTA ANA 5  B;49006;ZAMORA;ZAMORA;980536655;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RAMOS ENCALADO , ILDEFONSO;PRIVADOS;41.5082229, -5.745656
CLINICA DENTAL SAN IGNACIO;24-C251-0250;CL. SAN IGNACIO DE LOYOLA 74 BA;24010;SAN ANDRES DEL RABANEDO;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ASENJO GONZALEZ , GABRIELA ALICIA;PRIVADOS;42.6076329, -5.5933595
CLINICA DENTAL SAN LORENZO;40-C251-0124;AV. VIA ROMA 41;40003;SEGOVIA;SEGOVIA;921433488;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL SAN LORENZO C.B.;PRIVADOS;40.95505, -4.108847
CLINICA DENTAL SAN REMO S.L.P.;24-C251-0306;PZ. AYUNTAMIENTO 6;24420;FABERO;LEON;987550378;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL SAN REMO SLP;PRIVADOS;42.7658197, -6.6282326
CLINICA DENTAL SANCHEZ ARRANZ;09-C251-0160;CL. PROGRESO 10;09002;BURGOS;BURGOS;947200375;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL CLINIC SANCHEZ ARRANZ;PRIVADOS;42.3370726, -3.6999489
CLINICA DENTAL SANIDENT;09-C251-0097;CL. ANTONIO MACHADO 6  A;09005;BURGOS;BURGOS;947242420;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;IZQUIERDO UGARTE , JAVIER;PRIVADOS;42.3460855, -3.6930028
CLINICA DENTAL SANITAS DE ZAMORA MILENIUM;49-C251-0090;AV. VICTOR GALLEGO 10;49009;ZAMORA;ZAMORA;980581300;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANITAS NUEVOS NEGOCIOS SLU;PRIVADOS;41.5096135, -5.7427536
CLINICA DENTAL SANTA ANA;37-C251-0150;CL. SANTA ANA 4;37210;VITIGUDINO;SALAMANCA;923500336;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;LOPEZ DE ARROYABE GRANADO , NAGORE;PRIVADOS;41.0077361, -6.4356195
CLINICA DENTAL SANTA MARIA;24-C251-0057;CL. SANTA MARIA 20  B;24540;CACABELOS;LEON;987549549;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HERNANDEZ MARTIN , NATALIA;PRIVADOS;42.599863, -6.7243637
CLINICA DENTAL SANTOS Y PERIBAÑEZ;47-C251-0021;CL. MANTERIA 38  A;47004;VALLADOLID;VALLADOLID;983204916;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANTOS Y PERIBAÑEZ SL;PRIVADOS;41.6482031, -4.7207974
CLINICA DENTAL SEGOSALUD;40-C251-0050;CL. CRISTO DE LA CALZADA 3;40370;TUREGANO;SEGOVIA;921500097;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SEGOSALUD CRISTINA MELERO S.L.;PRIVADOS;41.1556411, -4.0060374
CLINICA DENTAL SILVA;24-C251-0044;CL. CARMEN N 7 2PUERTA 1;24001;LEON;LEON;987247833;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA SILVA SL;PRIVADOS;42.588064, -5.5883376
CLINICA DENTAL SONRYA;49-C251-0075;CL. SANTO DOMINGO 4  A;49600;BENAVENTE;ZAMORA;980630318;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#DEPOSITO DE MEDICAMENTOS#IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;LOPEZ GUERRA , LORENA;PRIVADOS;42.0010749, -5.6796303
CLINICA DENTAL SOTIDENT;05-C251-0005;CL. CLAUDIO SANCHEZ ALBORNOZ, 17;05420;SOTILLO DE LA ADRADA;AVILA;918661450;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BRAVO ARENAS , ALBERTO;PRIVADOS;40.2953674, -4.5848322
CLINICA DENTAL TASDENT;24-C251-0187;CL. PADRE JAVIER DE VALLADOLID 3  C;24005;LEON;LEON;987262620;987236731;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;TASDENT S.L.;PRIVADOS;42.5925897, -5.5699554
CLINICA DENTAL TEETHNET ENDOPERIO;24-C251-0239;PZ. DE LA INMACULADA 3;24001;LEON;LEON;987222444;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;TEETHNET CLINICA S.L.;PRIVADOS;42.5992038, -5.5761013
CLINICA DENTAL TERA;49-C251-0112;CL. CARRETERA 6-8;49332;CAMARZANA DE TERA;ZAMORA;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL TERA SCP SOCIEDAD CIVIL PROFESIONA;PRIVADOS;41.9953913, -6.0276458
CLINICA DENTAL TORO 84;37-C251-0105;CL. TORO 84-90  J;37002;SALAMANCA;SALAMANCA;923218059;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL TORO C.B.;PRIVADOS;40.9683543, -5.6605171
CLINICA DENTAL VALENCIA;24-C251-0271;AV. CARLOS PINILLA 21;24200;VALENCIA DE DON JUAN;LEON;987751314;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;OLIVEIRA COUTO , FRANCIS ADALBERTO;PRIVADOS;42.2918252, -5.5180135
CLINICA DENTAL VEGA;37-C251-0247;CL. SAN BUENAVENTURA 2;37008;SALAMANCA;SALAMANCA;680628886;0;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;BUENAVENTURA DENTAL SL;PRIVADOS;40.960103, -5.664176
CLINICA DENTAL VEGA;47-C251-0002;CL. FERRARI 5  A;47002;VALLADOLID;VALLADOLID;983370133;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;VEGA GUTIERREZ , DOMINGO;PRIVADOS;41.6519868, -4.7269376
CLINICA DENTAL VICTOR GONZALEZ;49-C251-0120;CL. LA RUA 23;49600;BENAVENTE;ZAMORA;980041075;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GONZALEZ MARTINEZ , VICTOR;PRIVADOS;42.002262, -5.679062
CLINICA DENTAL VILLALPANDO;40-C251-0014;CL. AGAPITO MARAZUELA 20;40005;SEGOVIA;SEGOVIA;921110204;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL VILLALPANDO S.L.;PRIVADOS;40.9379999, -4.1126849
CLINICA DENTAL VILLARCAYO;09-C251-0126;CL. ALLAL 2;09550;VILLARCAYO;BURGOS;947130147;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;LINARES MARTINEZ-ABASCAL , ENRIQUE;PRIVADOS;42.9377441, -3.5718695
CLINICA DENTAL VILLARES;37-C251-0151;AV. JOSE GARCIA SANTOS 57;37184;VILLARES DE LA REINA;SALAMANCA;923203231;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA VILLARES S. L.;PRIVADOS;41.0064697, -5.6464779
CLINICA DENTAL VIRGEN DEL CANTO;49-C251-0027;CL. EMPEDRADA 2  B;49800;TORO;ZAMORA;980692698;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DE LA ROSA BELLIARD , PAOLA;PRIVADOS;41.5232768, -5.3930019
CLINICA DENTAL VIRGINIA SANZ;42-C251-0024;CL. ADUANA VIEJA, 1, 1. A;42002;SORIA;SORIA;975221850;0;ESPECIALIZADOS: CLINICAS DENTALES;IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;SANZ MARTINEZ , VIRGINIA;PRIVADOS;41.7643955, -2.4669762
CLINICA DENTAL VITALDENT;49-C251-0024;AV. TRES CRUCES 24;49008;ZAMORA;ZAMORA;980511237;980511222;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;NANSA ODONTOLOGICA S.L.U.;PRIVADOS;41.5108246, -5.7412396
CLINICA DENTAL VITALDENT;09-C251-0171;CL. DIEGO LAINEZ 2;09005;BURGOS;BURGOS;683159152;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BALOO DENTAL S.L.;PRIVADOS;42.347557, -3.697433
CLINICA DENTAL VITALDENT BERI ODONTOLOGICA;49-C251-0076;AV. DEL FERIAL 53-55;49600;BENAVENTE;ZAMORA;980639511;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BERI ODONTOLOGICA S.L.;PRIVADOS;41.9998707, -5.6753237
CLINICA DENTAL VITALDENT SALAMANCA - AVDA. VILLAMAYOR;37-C251-0180;AV. DE VILLAMAYOR 32;37007;SALAMANCA;SALAMANCA;923267010;923270931;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GLOBAL ALEMOR S.L.;PRIVADOS;40.96955, -5.669355
CLINICA DENTAL VIVAR;09-C251-0082;CL. CALZADAS 5  D;09005;BURGOS;BURGOS;947271924;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL VIVAR S.C.P.;PRIVADOS;42.3435471, -3.6943058
CLINICA DENTAL Y DE ORTODONCIA DE D. JOSE IGNACIO LOPEZ MUÑOZ;05-C251-0002;CL. AREVALO, 3  1;05001;AVILA;AVILA;920222126;920222126;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;LOPEZ MUÑOZ , JOSE IGNACIO;PRIVADOS;40.6560346, -4.6909637
CLINICA DENTAL ZARATAN. DRA. DIEZ ARAUZ;47-C251-0366;CR. DE LA MOTA 41;47610;ZARATAN;VALLADOLID;622425258;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DIEZ ARAUZ , CAMILA DANIELA;PRIVADOS;41.6594549, -4.7833204
CLINICA DENTALMIT;37-C24-0029;CL. JESUS SANCHEZ TERAN 12-14;37500;CIUDAD RODRIGO;SALAMANCA;923460021;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTALMIT S.L.U.;PRIVADOS;40.6008018, -6.5332926
CLINICA DERMATOLOGICA DE D. JESUS GARCIA DORADO;37-C21-0204;PZ. DEL POETA IGLESIAS 6;37001;SALAMANCA;SALAMANCA;923259856;923259856;CONSULTAS MEDICAS;DERMATOLOGIA;GARCIA DORADO ALONSO S.L.;PRIVADOS;40.9643206, -5.6637042
